Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-036045,2020-08,08/11/2020 21:34,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,412,W LEXINGTON AVE,56, , ,4115,PENROSE,897388.1,1031229
20-035856,2020-08,08/11/2020 22:00,Y, , ,1, , 64701,3,LARCENY-FROM MTR VEH UNDER $500,3132,CHEROKEE ST,19, , ,3132,CHEROKEE,895678.7,1005359
20-035824,2020-08,08/11/2020 22:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5760,THEODORE AVE,72, , ,5760,THEODORE,890415.1,1043832
20-035852,2020-08,08/11/2020 22:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,5712,PERNOD AVE,14, , ,5712,PERNOD,880413.3,1005966
20-035760,2020-08,08/11/2020 22:01,Y, , ,1, ,151130,6,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,8350,N BROADWAY,74, , , , ,897599.8,1048898
20-036042,2020-08,08/11/2020 22:06,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4336,PENROSE ST,68, , ,4336,PENROSE,897052.7,1034460
20-035757,2020-08,08/11/2020 22:15,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,HODIAMONT AVE / N SKINKER BLVD,48, , , , ,878870.5,1030178
20-035761,2020-08,08/11/2020 22:40,Y, , ,1, ,265100,4,SAFETY-FIREWORKS VIOLATION,420,N 6TH ST,35,6TH STREET GARAGE, ,420,6TH,908992.6,1018056
20-035766,2020-08,08/11/2020 22:54,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,1930,N 9TH ST,64,BERNIES PLACE, , , ,909224.2,1024292
20-035788,2020-08,08/11/2020 23:00,Y, , ,1, , 64701,3,LARCENY-FROM MTR VEH UNDER $500,3026,GEYER AVE,26, , ,3026,GEYER,897251.8,1012458
20-035820,2020-08,08/11/2020 23:00,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,4718,ADKINS AVE,5, , ,4718,ADKINS,887839.1,1000382
20-036114,2020-08,08/11/2020 23:00,Y, , ,1, , 69602,5,"LARCENY-ALL OTHER $500 - $24,999",437,CLARA AVE,47, , ,437,CLARA,882202.3,1025900
20-035763,2020-08,08/11/2020 23:00,Y, , ,1, , 91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5475,CABANNE AVE,49, ,APT 101,5475,CABANNE,883631.8,1028675
20-035764,2020-08,08/11/2020 23:01,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5754,FLOY AVE,76, , ,5754,FLOY,890193.6,1047958
20-035767,2020-08,08/11/2020 23:15,Y, , ,1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",4004,GILES AVE,16, , ,4004,GILES,892317.3,1002049
20-035765,2020-08,08/12/2020 00:01,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4900,EUCLID TER,53,FP SAN REMO APARTMENTS,APARTMENT,4900,EUCLID,888733.6,1027045
20-036002,2020-08,08/12/2020 00:01,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,ALGERNON ST / HARRIS AVE,68, , , , ,900783.9,1036035
20-035772,2020-08,08/12/2020 00:30,Y, , ,1, ,241100,1,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,7823,WILMAR PL,4, , ,7823,WILMAR,883443.6,991034.9
20-035770,2020-08,08/12/2020 00:38,Y, , ,1, ,151110,5,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,1490,BELT AVE,78, ,ALIAS BELT AVE/MLK CITY, , ,885210.9,1032113
20-035769,2020-08,08/12/2020 00:45,Y, , ,1, ,266510,3,PUBLIC ORDER-TRESPASSING,2600,CHOUTEAU AVE,31,GAS STATION,@QT - JEFFERSON / CHOUTEAU,2600,CHOUTEAU,900507.7,1015458
20-035771,2020-08,08/12/2020 00:51,Y, , ,1, ,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,1909,COLEMAN AVE,59, , ,1909,COLEMAN,899461.6,1025651
20-035897,2020-08,08/12/2020 01:15,Y, , ,1, , 64701,3,LARCENY-FROM MTR VEH UNDER $500,2626,MICHIGAN AVE,25, , ,2626,MICHIGAN,896512.3,1009693
20-035773,2020-08,08/12/2020 01:15,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4448,ASHLAND AVE,56, , ,4460,ASHLAND,894501.6,1032224
20-036292,2020-08,08/12/2020 01:27,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,1600,N KINGSHIGHWAY BLVD,55, , ,1600,KINGSHIGHWAY,888692.6,1030783
20-035791,2020-08,08/12/2020 01:54,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1401,ST LOUIS AVE,63, ,@CROWN CANDY KITCHEN,1401,ST LOUIS,906416.3,1026187
20-035794,2020-08,08/12/2020 02:00,Y, , ,1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2820,HEREFORD ST,13, , ,2820,HEREFORD,885188.3,1010015
20-035778,2020-08,08/12/2020 02:45,Y, , ,1, , 64701,6,LARCENY-FROM MTR VEH UNDER $500,6124,N BROADWAY,79,REAR LOT NEAR GAS PUMPS, ,6124,BROADWAY,900558.8,1038456
20-035810,2020-08,08/12/2020 03:00,Y, , ,1, , 51222,3,BURGLARY-RESIDENCE/NIT/UNLAW ENT/UNOCCUPIED,2005,OREGON AVE,24, , ,2005,OREGON,898030.5,1011998
20-035781,2020-08,08/12/2020 03:05,Y, , ,1, , 10000,1,HOMICIDE,2823,OSCEOLA ST,17, , ,2817,OSCEOLA,896094.1,998798.9
20-035777,2020-08,08/12/2020 03:27,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,1067,WALL ST,74, , ,1067,WALL,895811.4,1051159
20-035943,2020-08,08/12/2020 03:58,Y, , ,1, , 51212,1,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,3622,LIERMANN AVE,16, , ,3622,LIERMANN,892904.9,1001600
20-035780,2020-08,08/12/2020 04:05,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4141,COOK AVE,58, , ,1220,WHITTIER,894453.1,1025684
20-035779,2020-08,08/12/2020 04:09,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,5742,LANSDOWNE AVE,7, , ,5742,LANSDOWNE,879760.5,1003462
20-035782,2020-08,08/12/2020 04:40,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4314,EVANS AVE,58, ,OFF CAMPUS RANKEN PROJECT,4314,EVANS,893307.4,1027139
20-035792,2020-08,08/12/2020 05:00,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,1513,N 13TH ST,60,SALAMA S MARKET, ,1536,BIDDLE,907625.4,1022548
20-035784,2020-08,08/12/2020 05:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,701,N 1ST ST,35, ,PEPER LOFTS,701,1ST,910590.9,1018450
20-037161,2020-08,08/12/2020 06:30,Y, , ,1, , 69702,6,LARCENY-ALL OTHER UNDER $500,4421,KOSSUTH AVE,69, , ,4421,KOSSUTH,896059,1034330
20-036653,2020-08,08/12/2020 07:00,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,3279,MACKLIND AVE,14, , ,3279,MACKLIND,882638.3,1007925
20-035843,2020-08,08/12/2020 07:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3854,FOLSOM AVE,29, , ,3854,FOLSOM,893356.9,1014734
20-036266,2020-08,08/12/2020 07:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,1325,S GRAND BLVD,29, , ,1325,GRAND,894902.8,1015747
20-036021,2020-08,08/12/2020 07:00,Y, , ,1, , 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,2228,GRAVOIS AVE,22, , ,2228,GRAVOIS,900129.6,1009587
20-035789,2020-08,08/12/2020 07:27,Y, , ,1, , 42013,3,AGG.ASSAULT-KNIFE/CITIZEN ADULT 3RD DEGREE,3619,PENNSYLVANIA AVE,19, ,MULTI-FAMILY BUILDING,3619,PENNSYLVANIA,896050.9,1003808
20-038123,2020-08,08/12/2020 08:00,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",434,BLASE AVE,74, , ,430,BLASE,897439.2,1046210
20-035817,2020-08,08/12/2020 08:00,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,7330,HAMPTON AVE,6, ,APT A,7330,HAMPTON,878682.4,995631.7
20-038681,2020-08,08/12/2020 08:00,Y, , ,1, ,112020,2,FRAUD-CREDIT DEVICE/UNDER $150,5869,SUNSHINE DR,8, , ,5869,SUNSHINE,878407.3,996925.8
20-035804,2020-08,08/12/2020 08:05,Y, , ,1, , 92000,5,SIMPLE ASSAULT-HARRASSMENT,1342,MONTCLAIR AVE,78, , ,1342,MONTCLAIR,883723.4,1031194
20-035796,2020-08,08/12/2020 08:20,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,2846,N SARAH ST,56, ,@ SOUTH ALLY OF 4100 ST.LOUIS, , ,896755.3,1029040
20-035802,2020-08,08/12/2020 08:28,Y, , ,1, , 69703,6,LARCENY-ALL OTH/FRM PRSN/UNDER $500,0,RUSKIN AVE / THEKLA AVE,71, , , , ,893450.3,1040351
20-035799,2020-08,08/12/2020 08:45,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2810,N 9TH ST,64, ,@HOTEL- DAYS INN,2810,9TH,908176.4,1026937
20-035815,2020-08,08/12/2020 09:11,Y, , ,1, , 71030,2,AUTO THEFT-PERM RETNT/JOY RIDE,633,UNION DR,82, , ,633,UNION,883074.4,1020641
20-035808,2020-08,08/12/2020 09:18,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2350,ALBION PL,32, , ,2350,ALBION,900155.6,1013517
20-035813,2020-08,08/12/2020 09:30,Y, , ,1, , 51112,5,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,1628,CLARA AVE,50, , ,1628,CLARA,884361.9,1033084
20-035823,2020-08,08/12/2020 09:37,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4500,MORGANFORD RD,5, , ,4500,MORGANFORD,887366.3,1002477
20-036343,2020-08,08/12/2020 10:00,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,3858,BOWEN ST,3, , ,3858,BOWEN,887899.8,995318.1
20-036036,2020-08,08/12/2020 10:00,Y, , ,1, , 65601,3,"LARCENY-MTR VEH PARTS $500 - $24,999",0,CHEROKEE ST / INDIANA AVE,18, , , , ,899110.9,1005045
20-035874,2020-08,08/12/2020 10:00,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,3430,S GRAND BLVD,25,SCHNUCKS, , , ,893788.8,1005469
20-036101,2020-08,08/12/2020 10:30,Y, , ,1, , 69602,2,"LARCENY-ALL OTHER $500 - $24,999",2102,HEREFORD ST,12, , ,2102,HEREFORD,886094.5,1012649
20-036027,2020-08,08/12/2020 10:30,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,4701,LEE AVE,69, ,RESIDENCE,4701,LEE,894363.3,1035704
20-035826,2020-08,08/12/2020 10:40,Y, , ,1, , 10000,4,HOMICIDE,1119,N TUCKER BLVD,61, ,@MCDONALDS - 1119 N TUCKER,1119,TUCKER,907258.8,1020890
20-035835,2020-08,08/12/2020 10:55,Y, , ,1, , 71030,6,AUTO THEFT-PERM RETNT/JOY RIDE,0,ADELAIDE AVE / I 70 EASTBOUND,66, ,ALIAS EB 70/ADELAIDE AVE CITY, , ,902602.9,1036399
20-035834,2020-08,08/12/2020 11:00,Y, , ,1, , 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",1,FINE ARTS DR,82, ,@FOREST PARK - ART MUSEUM,1,FINE ARTS,878856.8,1021748
20-035830,2020-08,08/12/2020 11:25,Y, , ,1, , 91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,6017,PENNSYLVANIA AVE,1, , ,6017,PENNSYLVANIA,892712.7,992581.4
20-035830,2020-08,08/12/2020 11:25,Y, , ,1, , 91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,6017,PENNSYLVANIA AVE,1, , ,6017,PENNSYLVANIA,892712.7,992581.4
20-036026,2020-08,08/12/2020 11:26,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4528,POPE,69, , ,4528,POPE,894582.1,1033832
20-035829,2020-08,08/12/2020 11:30,Y, , ,1, , 41013,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,4221,PRAIRIE AVE,67, , ,4221,PRAIRIE,901076.1,1032601
20-035838,2020-08,08/12/2020 11:42,Y, , ,1, , 63601,2,"LARCENY-SHOPLIFT $500 - $24,999",1301,HAMPTON AVE,42,PHILLIPS 66, ,1301,HAMPTON,880792.2,1017016
20-035916,2020-08,08/12/2020 12:00,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,0,I 44 EASTBOUND / S JEFFERSON A,23, , ,3304,MERAMEC,899889.1,1012426
20-035845,2020-08,08/12/2020 12:30,Y, , ,1, ,151110,3,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,3658,ILLINOIS AVE,18, ,APT 6,3600,ILLINOIS,899481.6,1002943
20-035913,2020-08,08/12/2020 12:40,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,710,N BROADWAY,35, , , , ,909520.3,1018744
20-035859,2020-08,08/12/2020 13:00,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,GOODFELLOW BLVD / I 70 EASTBOU,70, , , , ,887564.6,1043980
20-036022,2020-08,08/12/2020 13:14,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4547,SAN FRANCISCO AVE,69, , ,4547,SAN FRANCISCO,894582.1,1033832
20-035878,2020-08,08/12/2020 13:30,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,201,N TUCKER BLVD,36,PAPA JOHN S, ,201,TUCKER,906471.4,1018154
20-035864,2020-08,08/12/2020 13:40,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,0,S BROADWAY 4500 / I 55 SOUTHBO,17, ,ALIAS 55 SB/S BROADWAY 4500 CITY, , ,896925.8,998634.1
20-035885,2020-08,08/12/2020 14:00,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,200,S TUCKER BLVD,35,JUSTICE CENTER,JUSTICE CENTER,200,TUCKER,906343.9,1016785
20-036119,2020-08,08/12/2020 14:00,Y, , ,1, , 71030,2,AUTO THEFT-PERM RETNT/JOY RIDE,4101,MAGNOLIA AVE,27, , ,4101,MAGNOLIA,891047.6,1010514
20-035862,2020-08,08/12/2020 14:00,Y, , ,1, ,241100,2,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,4135,BOTANICAL AVE,27, , ,4135,BOTANICAL,890826.8,1011083
20-035871,2020-08,08/12/2020 14:07,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3000,KEOKUK ST,16, , ,3000,KEOKUK,895810,1001995
20-035865,2020-08,08/12/2020 14:15,Y, , ,1, , 63701,5,LARCENY-SHOPLIFT UNDER $500,6211,DELMAR BLVD,48,@CVS,@CVS,6211,DELMAR,877305.8,1027712
20-035863,2020-08,08/12/2020 14:15,Y, , ,1, , 38111,6,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,5310,N EUCLID AVE,71, , ,5310,EUCLID,894542.1,1038824
20-035861,2020-08,08/12/2020 14:37,Y, , ,1, ,229999,4,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,811,LOCUST ST,35,OLD POST OFFICE PLAZA, ,800,LOCUST,908188.5,1018183
20-035872,2020-08,08/12/2020 14:42,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,FOREST PARK AVE / S GRAND BLVD,37, , , , ,896187.8,1019510
20-035873,2020-08,08/12/2020 14:45,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2700,HENRIETTA ST,31,EADS SQUARE APARTMENTS, ,2700,HENRIETTA,899085.4,1013180
20-036761,2020-08,08/12/2020 15:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,7052,JAMIESON AVE,8, , ,7052,JAMIESON,877585.7,997225.1
20-035876,2020-08,08/12/2020 15:05,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,CORA AVE / LABADIE AVE,56, , , , ,892768.5,1032083
20-035896,2020-08,08/12/2020 15:50,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,1300,N TUCKER BLVD,62, , ,1300,TUCKER,907539.1,1021500
20-037119,2020-08,08/12/2020 16:00,Y, , ,1, , 72113,3,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,2009,CALIFORNIA AVE,24, , ,2009,CALIFORNIA,898353.9,1011927
20-036110,2020-08,08/12/2020 16:05,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,3870,ARSENAL ST,15, , ,3870,ARSENAL,892044.1,1008549
20-035898,2020-08,08/12/2020 16:22,Y, , ,1, ,263299,4,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,2538,W DODIER ST,60, , ,2538,DODIER,902509.2,1027404
20-035992,2020-08,08/12/2020 16:30,Y, , ,1, , 71040,2,AUTO THEFT-PERM RETNT/ATTEMPT,5235,PATTISON AVE,12, , ,5235,PATTISON,884942.1,1014472
20-035890,2020-08,08/12/2020 16:34,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,0,S COMPTON AVE / LAFAYETTE AVE,31, , , , ,896716.6,1013298
20-035894,2020-08,08/12/2020 16:40,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,ADELAIDE / INTERSTATE 70,66, , , , ,0,0
20-035901,2020-08,08/12/2020 16:44,Y, , ,1, ,182130,1,DRUGS-POSSESSION/HEROIN,7515,PENNSYLVANIA AVE,2, , ,7515,PENNSYLVANIA,889208.6,988699.9
20-036103,2020-08,08/12/2020 17:00,Y, , ,1, , 72113,5,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,956,HAMILTON AVE,48, , ,956,HAMILTON,880401.1,1029594
20-035899,2020-08,08/12/2020 17:25,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,FOUNTAIN AVE / N KINGSHIGHWAY,53, , , , ,887975.8,1027715
20-035907,2020-08,08/12/2020 17:40,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,925,MARYVILLE AVE,48, , ,925,MARYVILLE,880518.4,1029235
20-036289,2020-08,08/12/2020 18:00,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,5414,WILSON AVE,12, , ,5414,WILSON,883641.7,1013201
20-035915,2020-08,08/12/2020 18:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3100,MINNESOTA AVE,25, , ,3100,MINNESOTA,896530.9,1007963
20-036241,2020-08,08/12/2020 18:00,Y, , ,1, , 64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",2252,NEBRASKA AVE,24, , ,2252,NEBRASKA,897648.6,1010591
20-036029,2020-08,08/12/2020 18:00,Y, , ,1, , 65601,2,"LARCENY-MTR VEH PARTS $500 - $24,999",4823,POTOMAC ST,15, , ,4823,POTOMAC,886168.6,1006223
20-035922,2020-08,08/12/2020 18:02,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5803,GOENER AVE,5, , ,5803,GOENER,884723.2,998854.8
20-035910,2020-08,08/12/2020 18:07,Y, , ,1, ,241100,1,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,4400,TAFT AVE,5, ,BLOCK,4400,TAFT,886439.6,1002680
20-035912,2020-08,08/12/2020 18:17,Y, , ,1, ,151130,4,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,0,N GRAND BLVD / SAINT LOUIS AVE,59, , , , ,899834.2,1027484
20-036003,2020-08,08/12/2020 18:30,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,5060,THOLOZAN AVE,14, , ,5060,THOLOZAN,883557.6,1005238
20-036125,2020-08,08/12/2020 18:30,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,4101,MAGNOLIA AVE,27, , ,4101,MAGNOLIA,891047.6,1010514
20-035914,2020-08,08/12/2020 18:48,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,3325,NEBRASKA AVE,30, , ,3325,NEBRASKA,896689.6,1005689
20-035918,2020-08,08/12/2020 18:52,Y, , ,1, , 63701,3,LARCENY-SHOPLIFT UNDER $500,1530,LAFAYETTE AVE,33, , ,1530,LAFAYETTE,903270.1,1012207
20-036147,2020-08,08/12/2020 19:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5310,N EUCLID AVE,71, , ,5310,EUCLID,894542.1,1038824
20-035989,2020-08,08/12/2020 19:00,Y, , ,1, , 64711,1,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4348,CHIPPEWA ST,5, , ,4348,CHIPPEWA,887108.9,1003874
20-035953,2020-08,08/12/2020 19:00,Y, , ,1, , 31311,4,ROBBERY-HIGHWAY/OTHR WEPN USED/SUCCESSFUL,1621,N 1ST ST,64, , ,1621,1ST,910626.9,1022779
20-036270,2020-08,08/12/2020 19:00,Y, , ,1, , 91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3331,GRAVOIS AVE,25, , ,3331,GRAVOIS,894539.3,1005907
20-035920,2020-08,08/12/2020 19:05,Y, , ,1, , 43015,3,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,3447,VIRGINIA AVE,30, , ,3447,VIRGINIA,894920.9,1005096
20-035928,2020-08,08/12/2020 19:18,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4206,S GRAND BLVD,16,SPEEDIE GAS STATION, , , ,893375.8,1000297
20-036209,2020-08,08/12/2020 19:30,Y, , ,1, , 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,2316,VIRGINIA AVE,25, , ,2316,VIRGINIA,895973.6,1010528
20-036069,2020-08,08/12/2020 20:00,Y, , ,1, , 51122,2,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,4954,POTOMAC ST,14, , ,4954,POTOMAC,884901.8,1006311
20-036031,2020-08,08/12/2020 20:00,Y, , ,1, , 69602,1,"LARCENY-ALL OTHER $500 - $24,999",4928,CHRISTY BLVD,5,ST. VINCENT DE PAUL THRIFT STORE, ,4928,CHRISTY,884727.1,1002082
20-035929,2020-08,08/12/2020 20:00,Y, , ,1, ,115200,4,FRAUD-STEALING BY DECEIT/UNDER $150,101,N BROADWAY,35,CALECOS, ,101,BROADWAY,908732.9,1017197
20-035988,2020-08,08/12/2020 20:00,Y, , ,1, , 65601,5,"LARCENY-MTR VEH PARTS $500 - $24,999",5475,CABANNE AVE,49, , ,5475,CABANNE,883631.8,1028675
20-035925,2020-08,08/12/2020 20:18,Y, , ,1, ,241100,5,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,313,N EUCLID AVE,38, , , , ,888222.2,1023907
20-036019,2020-08,08/12/2020 20:30,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,5628,S KINGSHIGHWAY BLVD,6, , ,5628,KINGSHIGHWAY,882635.8,999561.8
20-035934,2020-08,08/12/2020 20:35,Y, , ,1, , 41011,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4300,BATES ST,5, , , , ,886280.8,998757.1
20-035934,2020-08,08/12/2020 20:35,Y, , ,1, , 41021,1,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,4300,BATES ST,5, , , , ,886280.8,998757.1
20-035938,2020-08,08/12/2020 20:50,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3258,S JEFFERSON AVE,22,BP GAS STATION, ,3458,OHIO,898913.6,1005729
20-036096,2020-08,08/12/2020 21:00,Y, , ,1, , 64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",1923,PROVENCHERE PL,22, , ,1923,PROVENCHERE,900954.3,1006287
20-035957,2020-08,08/12/2020 21:00,Y, , ,1, , 51212,1,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,1121,BELLERIVE BLVD,1, , ,1121,BELLERIVE,890649.2,995552.1
20-035991,2020-08,08/12/2020 21:03,Y, , ,1, , 64701,5,LARCENY-FROM MTR VEH UNDER $500,265,UNION BLVD,47, , ,265,UNION,884536.7,1024563
20-035937,2020-08,08/12/2020 21:10,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,7518,PENNSYLVANIA AVE,2, , ,7518,PENNSYLVANIA,889346.5,988546.8
20-035952,2020-08,08/12/2020 21:15,Y, , ,1, , 63701,4,LARCENY-SHOPLIFT UNDER $500,3140,OLIVE ST,37,BP GAS STATION, ,3140,OLIVE,898657.9,1020260
20-035936,2020-08,08/12/2020 21:20,Y, , ,1, , 31421,4,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,1300,CHESTNUT ST,36, , , , ,905828.8,1017753
20-035940,2020-08,08/12/2020 21:30,Y, , ,1, ,151130,6,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,6001,W FLORISSANT AVE,73,GAS MART USA, ,6001,FLORISSANT,891175.6,1047253
20-035941,2020-08,08/12/2020 21:49,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3751,S JEFFERSON AVE,19,MOTO MART, ,3751,JEFFERSON,898162.7,1002525
20-035949,2020-08,08/12/2020 21:52,Y, , ,1, , 10000,4,HOMICIDE,2807,GAMBLE ST,59, ,1/2, , ,901256.9,1022549
20-035947,2020-08,08/12/2020 21:54,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3035,BELL AVE,59, , ,3217,DR MARTIN LUTHER KING,899804.5,1022317
20-035947,2020-08,08/12/2020 21:54,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3035,BELL AVE,59, , ,3217,DR MARTIN LUTHER KING,899804.5,1022317
20-035947,2020-08,08/12/2020 21:54,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3035,BELL AVE,59, , ,3217,DR MARTIN LUTHER KING,899804.5,1022317
