Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-016856,2020-08,04/12/2020 12:00,Y, , ,1, , 71040,5,AUTO THEFT-PERM RETNT/ATTEMPT,18,S KINGSHIGHWAY BLVD,38,MONTCLAIR ON THE PARK,PARKING LOT,18,KINGSHIGHWAY,887316.6,1022062
20-016113,2020-08,04/13/2020 19:47,Y, , ,1, , 63701,5,LARCENY-SHOPLIFT UNDER $500,3925,LINDELL BLVD,38, , ,3925,LINDELL,894199,1021580
20-039303,2020-08,04/14/2020 13:51,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-036064,2020-08,04/15/2020 17:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3954,PENNSYLVANIA AVE,16, , ,3954,PENNSYLVANIA,895831.4,1001472
20-038529,2020-08,04/16/2020 15:00,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",5888,PLYMOUTH AVE,48, , ,5888,PLYMOUTH,880771.9,1031257
20-037362,2020-08,04/16/2020 17:25,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1310,DILLON,33, , ,1430,CHOUTEAU,0,0
20-035833,2020-08,04/17/2020 18:41,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2851,GRAVOIS AVE,24, ,@QT - GRAVOIS / NEBRASKA,2851,GRAVOIS,897916.5,1008451
20-036862,2020-08,04/17/2020 19:44,Y, , ,1, , 69711,6,LARCENY-ALL OTHER UNDER $500  /ATTEMPT,5590,WEST FLORISSANT,72, , ,5590,THRUSH,0,0
20-037349,2020-08,04/19/2020 10:40,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1311,LAFAYETTE,33, , ,1311,LAFAYETTE,0,0
20-016960,2020-08,04/20/2020 09:02, , , ,-1, , 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",888,MELVIN,74, , ,888,MELVIN,0,0
20-039308,2020-08,04/21/2020 18:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-017180,2020-08,04/22/2020 02:10,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,2607,GRAVOIS AVE,24, , ,2607,GRAVOIS,899242.4,1009280
20-017423,2020-08,04/22/2020 23:30,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,4011,DELMAR BLVD,58, , ,4011,DELMAR,894365.3,1023749
20-037369,2020-08,04/23/2020 09:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1003,S TUCKER BLVD,34, , ,1003,TUCKER,905532,1014351
20-039017,2020-08,04/24/2020 21:50,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-035842,2020-08,04/28/2020 16:20,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1000,LAMI ST,21, , ,1000,LAMI,903808.6,1008985
20-035987,2020-08,04/29/2020 08:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4714,LOUISIANA AVE,16, , ,4714,LOUISIANA,892472.3,997547.5
20-035685,2020-08,04/30/2020 09:00,Y, , ,1, , 52312,4,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,3562,MARKET ST,37, , ,3562,MARKET,896143.8,1018719
20-034643,2020-08,05/01/2020 08:26,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,S 2ND ST / CHOUTEAU AVE,20, , , , ,908634.8,1013347
20-035516,2020-08,05/01/2020 12:00,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3700,MINNESOTA AVE,19, , ,3700,MINNESOTA,0,0
20-036964,2020-08,05/01/2020 12:00,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,3643,OREGON AVE,19, , ,3643,OREGON,896668.6,1003491
20-024494,2020-08,05/01/2020 12:00,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5866,KENNERLY AVE,50, ,#1142407,5866,KENNERLY,883438.4,1035604
20-034892,2020-08,05/01/2020 21:00,Y, , ,1, , 69702,5,LARCENY-ALL OTHER UNDER $500,5362,PAGE BLVD,48, , ,5362,PAGE,884649,1029860
20-035839,2020-08,05/04/2020 03:44,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2851,GRAVOIS AVE,24, ,@QT - GRAVOIS / NEBRASKA,2851,GRAVOIS,897916.5,1008451
20-018880,2020-08,05/04/2020 10:58,Y, , ,1, , 51112,5,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,1911,N TAYLOR AVE,56,QUEEN OF PEACE, ,1911,TAYLOR,892639.8,1029563
20-036066,2020-08,05/07/2020 06:45,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3734,WISCONSIN AVE,18, , ,3734,WISCONSIN,899678.6,1002436
20-035797,2020-08,05/07/2020 09:00,Y, , ,1, , 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",8568,PARK LN,73, , ,8568,PARK,892447.1,1049467
20-038096,2020-08,05/10/2020 13:00,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2509,UNIVERSITY ST,60, , , , ,903309.2,1027066
20-020217,2020-08,05/12/2020 12:30,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1611,HODIAMONT AVE,50, , ,1611,HODIAMONT,881618.4,1035236
20-037113,2020-08,05/13/2020 17:20,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3904,DELOR ST,5, , ,3904,DELOR,889485.8,998773.4
20-020512,2020-08,05/13/2020 23:00,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4739,S SPRING AVE,16, , ,4739,SPRING,890521.2,999203.2
20-038440,2020-08,05/14/2020 13:14,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4714,LOUISIANA AVE,16, , ,4714,LOUISIANA,892472.3,997547.5
20-037926,2020-08,05/15/2020 10:00,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,1506,MALLINCKRODT ST,65, , ,1506,MALLINCKRODT,905890.6,1029179
20-037248,2020-08,05/15/2020 13:00,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,3179,OREGON AVE,30, , ,3179,OREGON,897191.9,1006746
20-037368,2020-08,05/17/2020 02:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1101,S TUCKER BLVD,33, , ,1101,TUCKER,905416.4,1013955
20-034272,2020-08,05/18/2020 08:00,Y, , ,1, ,112010,2,FRAUD-CREDIT DEVICE/OVER $150,5246,WILSON AVE,12, , ,5246,WILSON,884613.8,1013068
20-037355,2020-08,05/18/2020 23:35,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1455,HICKORY,33, , ,1430,CHOUTEAU,0,0
20-037386,2020-08,05/20/2020 12:24,Y, , ,1, , 51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4671,S SPRING AVE,16, , ,4671,SPRING,890400.8,999484.2
20-039323,2020-08,05/21/2020 06:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-038049,2020-08,05/22/2020 14:00,Y, , ,1, ,115100,3,FRAUD-STEALING BY DECEIT/OVER $150,3929,VIRGINIA AVE,16, , ,3929,VIRGINIA,894427.5,1001981
20-031732,2020-08,05/22/2020 17:00,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,3800,ALEXANDER ST,16, , , , ,0,0
20-039014,2020-08,05/23/2020 10:45,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-034570,2020-08,05/25/2020 14:00,Y, , ,1, ,117000,3,FAILURE TO RETURN BORROWED/RENTED VEHICL,3000,MIAMI ST,19, , ,3000,MIAMI,896120.6,1003954
